Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
add-remove cart,Chrome 66.0.3359.181,,2018-05-21 11:09:43,2018-05-21 11:11:51,2m - 8.128s,PASSED
,,,,,,
Test Cases/Add cart/verify-add nokia,Chrome 66.0.3359.181,,2018-05-21 11:09:46,2018-05-21 11:10:40,54.089s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-21 11:09:50,2018-05-21 11:10:29,39.416s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-21 11:10:29,2018-05-21 11:10:31,2.007s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-21 11:10:31,2018-05-21 11:10:33,2.348s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:10:33,2018-05-21 11:10:35,1.353s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:10:35,2018-05-21 11:10:37,2.124s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-21 11:10:37,2018-05-21 11:10:37,0.672s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 11:10:37,2018-05-21 11:10:40,2.845s,PASSED
,,,,,,
Test Cases/Add cart/verify-add flower,Chrome 66.0.3359.181,,2018-05-21 11:10:40,2018-05-21 11:11:14,34.045s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-21 11:10:41,2018-05-21 11:11:06,25.274s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-21 11:11:06,2018-05-21 11:11:08,2.003s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-21 11:11:08,2018-05-21 11:11:10,1.945s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:11:10,2018-05-21 11:11:12,1.603s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:11:12,2018-05-21 11:11:12,0.441s,PASSED
verifyElementPresent,Chrome 66.0.3359.181,,2018-05-21 11:11:12,2018-05-21 11:11:13,0.674s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 11:11:13,2018-05-21 11:11:14,1.308s,PASSED
,,,,,,
Test Cases/Remove cart/verify remove-cart,Chrome 66.0.3359.181,,2018-05-21 11:11:14,2018-05-21 11:11:51,36.173s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-21 11:11:15,2018-05-21 11:11:40,25.273s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:11:40,2018-05-21 11:11:43,3.301s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:11:43,2018-05-21 11:11:44,0.453s,PASSED
click,Chrome 66.0.3359.181,,2018-05-21 11:11:44,2018-05-21 11:11:46,1.708s,PASSED
delay,Chrome 66.0.3359.181,,2018-05-21 11:11:46,2018-05-21 11:11:49,3.006s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-21 11:11:49,2018-05-21 11:11:51,1.894s,PASSED
